"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"767","CC BY-NC-SA 4.0","Korean","10600"
"768","CC BY-NC-SA 4.0","Latvian","2420"
"769","CC BY-NC-SA 4.0","Lithuanian","357"
"770","CC BY-NC-SA 4.0","Norwegian","2010"
"771","CC BY-NC-SA 4.0","Polish","21900"
"772","CC BY-NC-SA 4.0","Portuguese","322000"
"773","CC BY-NC-SA 4.0","Romanian","1220"
"774","CC BY-NC-SA 4.0","Russian","9460"
"775","CC BY-NC-SA 4.0","Serbian","4140"
"776","CC BY-NC-SA 4.0","Slovak","2520"
"777","CC BY-NC-SA 4.0","Slovenian","23000"
"778","CC BY-NC-SA 4.0","Spanish","290000"
"779","CC BY-NC-SA 4.0","Swedish","2070"
"780","CC BY-NC-SA 4.0","Turkish","57500"
"781","CC BY-ND 4.0","Arabic","35000"
"782","CC BY-ND 4.0","Bulgarian","13100"
"783","CC BY-ND 4.0","Catalan","87600"
"784","CC BY-ND 4.0","Chinese (Simplified)","165000"
"785","CC BY-ND 4.0","Chinese (Traditional)","33300"
"786","CC BY-ND 4.0","Croatian","44900"
"787","CC BY-ND 4.0","Czech","85600"
"788","CC BY-ND 4.0","Danish","57100"
"789","CC BY-ND 4.0","Dutch","118000"
"790","CC BY-ND 4.0","English","360000000"
"791","CC BY-ND 4.0","Estonian","8650"
"792","CC BY-ND 4.0","Finnish","63800"
"793","CC BY-ND 4.0","French","363000"
"794","CC BY-ND 4.0","German","1010000"
"795","CC BY-ND 4.0","Greek","29300"
"796","CC BY-ND 4.0","Hebrew","30600"
"797","CC BY-ND 4.0","Hungarian","25400"
"798","CC BY-ND 4.0","Icelandic","13100"
"799","CC BY-ND 4.0","Indonesian","4490000"
"800","CC BY-ND 4.0","Italian","149000"
"801","CC BY-ND 4.0","Japanese","292000"
"802","CC BY-ND 4.0","Korean","87300"
"803","CC BY-ND 4.0","Latvian","21200"
"804","CC BY-ND 4.0","Lithuanian","29200"
"805","CC BY-ND 4.0","Norwegian","56900"
"806","CC BY-ND 4.0","Polish","153000"
"807","CC BY-ND 4.0","Portuguese","596000"
"808","CC BY-ND 4.0","Romanian","27200"
"809","CC BY-ND 4.0","Russian","308000"
"810","CC BY-ND 4.0","Serbian","53200"
"811","CC BY-ND 4.0","Slovak","21300"
"812","CC BY-ND 4.0","Slovenian","154000"
