"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"641","CC BY 4.0","Arabic","40900"
"642","CC BY 4.0","Bulgarian","16000"
"643","CC BY 4.0","Catalan","173000"
"644","CC BY 4.0","Chinese (Simplified)","174000"
"645","CC BY 4.0","Chinese (Traditional)","38200"
"646","CC BY 4.0","Croatian","62600"
"647","CC BY 4.0","Czech","227000"
"648","CC BY 4.0","Danish","107000"
"649","CC BY 4.0","Dutch","127000"
"650","CC BY 4.0","English","364000000"
"651","CC BY 4.0","Estonian","10400"
"652","CC BY 4.0","Finnish","81000"
"653","CC BY 4.0","French","853000"
"654","CC BY 4.0","German","5420000"
"655","CC BY 4.0","Greek","35000"
"656","CC BY 4.0","Hebrew","32700"
"657","CC BY 4.0","Hungarian","36500"
"658","CC BY 4.0","Icelandic","19300"
"659","CC BY 4.0","Indonesian","5760000"
"660","CC BY 4.0","Italian","219000"
"661","CC BY 4.0","Japanese","206000"
"662","CC BY 4.0","Korean","113000"
"663","CC BY 4.0","Latvian","41700"
"664","CC BY 4.0","Lithuanian","50100"
"665","CC BY 4.0","Norwegian","75600"
"666","CC BY 4.0","Polish","199000"
"667","CC BY 4.0","Portuguese","1070000"
"668","CC BY 4.0","Romanian","39300"
"669","CC BY 4.0","Russian","680000"
"670","CC BY 4.0","Serbian","77900"
"671","CC BY 4.0","Slovak","29700"
"672","CC BY 4.0","Slovenian","177000"
"673","CC BY 4.0","Spanish","5900000"
"674","CC BY 4.0","Swedish","78700"
"675","CC BY 4.0","Turkish","193000"
"676","CC BY-NC 4.0","Arabic","6090"
"677","CC BY-NC 4.0","Bulgarian","758"
"678","CC BY-NC 4.0","Catalan","11800"
"679","CC BY-NC 4.0","Chinese (Simplified)","28900"
"680","CC BY-NC 4.0","Chinese (Traditional)","3340"
"681","CC BY-NC 4.0","Croatian","8500"
"682","CC BY-NC 4.0","Czech","9270"
"683","CC BY-NC 4.0","Danish","6390"
"684","CC BY-NC 4.0","Dutch","22000"
"685","CC BY-NC 4.0","English","139000000"
"686","CC BY-NC 4.0","Estonian","3070"
"687","CC BY-NC 4.0","Finnish","11000"
"688","CC BY-NC 4.0","French","563000"
"689","CC BY-NC 4.0","German","89500"
"690","CC BY-NC 4.0","Greek","9290"
"691","CC BY-NC 4.0","Hebrew","455"
"692","CC BY-NC 4.0","Hungarian","5090"
"693","CC BY-NC 4.0","Icelandic","7130"
"694","CC BY-NC 4.0","Indonesian","113000"
"695","CC BY-NC 4.0","Italian","22200"
"696","CC BY-NC 4.0","Japanese","15400"
"697","CC BY-NC 4.0","Korean","43200"
"698","CC BY-NC 4.0","Latvian","9660"
"699","CC BY-NC 4.0","Lithuanian","5190"
"700","CC BY-NC 4.0","Norwegian","5940"
"701","CC BY-NC 4.0","Polish","57000"
"702","CC BY-NC 4.0","Portuguese","450000"
"703","CC BY-NC 4.0","Romanian","4380"
"704","CC BY-NC 4.0","Russian","30100"
"705","CC BY-NC 4.0","Serbian","4160"
"706","CC BY-NC 4.0","Slovak","2520"
"707","CC BY-NC 4.0","Slovenian","77400"
"708","CC BY-NC 4.0","Spanish","555000"
"709","CC BY-NC 4.0","Swedish","15800"
"710","CC BY-NC 4.0","Turkish","117000"
"711","CC BY-NC-ND 4.0","Arabic","6010"
"712","CC BY-NC-ND 4.0","Bulgarian","498"
"713","CC BY-NC-ND 4.0","Catalan","10900"
"714","CC BY-NC-ND 4.0","Chinese (Simplified)","28100"
"715","CC BY-NC-ND 4.0","Chinese (Traditional)","3290"
"716","CC BY-NC-ND 4.0","Croatian","3950"
"717","CC BY-NC-ND 4.0","Czech","5100"
"718","CC BY-NC-ND 4.0","Danish","5220"
"719","CC BY-NC-ND 4.0","Dutch","16800"
"720","CC BY-NC-ND 4.0","English","138000000"
"721","CC BY-NC-ND 4.0","Estonian","1850"
"722","CC BY-NC-ND 4.0","Finnish","7430"
"723","CC BY-NC-ND 4.0","French","507000"
"724","CC BY-NC-ND 4.0","German","68900"
"725","CC BY-NC-ND 4.0","Greek","4810"
"726","CC BY-NC-ND 4.0","Hebrew","348"
"727","CC BY-NC-ND 4.0","Hungarian","3580"
"728","CC BY-NC-ND 4.0","Icelandic","6270"
"729","CC BY-NC-ND 4.0","Indonesian","71900"
"730","CC BY-NC-ND 4.0","Italian","21100"
"731","CC BY-NC-ND 4.0","Japanese","24800"
"732","CC BY-NC-ND 4.0","Korean","43200"
"733","CC BY-NC-ND 4.0","Latvian","4490"
"734","CC BY-NC-ND 4.0","Lithuanian","2910"
"735","CC BY-NC-ND 4.0","Norwegian","4050"
"736","CC BY-NC-ND 4.0","Polish","26500"
"737","CC BY-NC-ND 4.0","Portuguese","366000"
"738","CC BY-NC-ND 4.0","Romanian","1420"
"739","CC BY-NC-ND 4.0","Russian","26400"
"740","CC BY-NC-ND 4.0","Serbian","3260"
"741","CC BY-NC-ND 4.0","Slovak","791"
"742","CC BY-NC-ND 4.0","Slovenian","22900"
"743","CC BY-NC-ND 4.0","Spanish","316000"
"744","CC BY-NC-ND 4.0","Swedish","14600"
"745","CC BY-NC-ND 4.0","Turkish","63100"
"746","CC BY-NC-SA 4.0","Arabic","2090"
"747","CC BY-NC-SA 4.0","Bulgarian","449"
"748","CC BY-NC-SA 4.0","Catalan","2990"
"749","CC BY-NC-SA 4.0","Chinese (Simplified)","8420"
"750","CC BY-NC-SA 4.0","Chinese (Traditional)","927"
"751","CC BY-NC-SA 4.0","Croatian","8390"
"752","CC BY-NC-SA 4.0","Czech","2450"
"753","CC BY-NC-SA 4.0","Danish","1240"
"754","CC BY-NC-SA 4.0","Dutch","4000"
"755","CC BY-NC-SA 4.0","English","54500000"
"756","CC BY-NC-SA 4.0","Estonian","1590"
"757","CC BY-NC-SA 4.0","Finnish","1980"
"758","CC BY-NC-SA 4.0","French","356000"
"759","CC BY-NC-SA 4.0","German","38400"
"760","CC BY-NC-SA 4.0","Greek","3100"
"761","CC BY-NC-SA 4.0","Hebrew","65"
"762","CC BY-NC-SA 4.0","Hungarian","2380"
"763","CC BY-NC-SA 4.0","Icelandic","1390"
"764","CC BY-NC-SA 4.0","Indonesian","46000"
"765","CC BY-NC-SA 4.0","Italian","28500"
"766","CC BY-NC-SA 4.0","Japanese","6530"
