"LANGUAGE_CODE","LANGUAGE_NAME_EN","LANGUAGE_NAME","COUNT"
"jam","Jamaican Creole English","Patois","1719"
"jbo","Lojban","la .lojban.","1353"
"jv","Javanese","Jawa","75295"
"ka","Georgian","ქართული","196690"
"kaa","Kara-Kalpak","Qaraqalpaqsha","13245"
"kab","Kabyle","Taqbaylit","7143"
"kai","Karekare","Karai-karai","1639"
"kaj","Jju","Jju","301"
"kbd","Kabardian","адыгэбзэ","1669"
"kbp","Kabiye","Kabɩyɛ","1714"
"kcg","Tyap","Tyap","1806"
"kg","Kongo","Kongo","1949"
"kge","Komering","Kumoring","2906"
"ki","Kikuyu","Gĩkũyũ","2457"
"kj","Kuanyama","Kwanyama","4"
"kk","Kazakh","қазақша","244157"
"km","Khmer","ភាសាខ្មែរ","12137"
"kn","Kannada","ಕನ್ನಡ","35216"
"knc","Central Kanuri","Yerwa Kanuri","1852"
"ko","Korean","한국어","752181"
"koi","Komi-Permyak","перем коми","3472"
"krc","Karachay-Balkar","къарачай-малкъар","2847"
"ks","Kashmiri","کٲشُر","11040"
"ksh","Colognian","Ripoarisch","3038"
"ku","Kurdish","kurdî","91891"
"kus","Kusaal","Kʋsaal","1358"
"kv","Komi","коми","5818"
"kw","Cornish","kernowek","7204"
"ky","Kyrgyz","кыргызча","76486"
"la","Latin","Latina","141922"
"lad","Ladino","Ladino","4063"
"lb","Luxembourgish","Lëtzebuergesch","67414"
"lbe","Lak","лакку","1069"
"lez","Lezghian","лезги","4476"
"lfn","Lingua Franca Nova","Lingua Franca Nova","4642"
"lg","Ganda","Luganda","5560"
"li","Limburgish","Limburgs","15214"
"lij","Ligurian","Ligure","11547"
"lld","Ladin","Ladin","183202"
"lmo","Lombard","lombard","80155"
"ln","Lingala","lingála","5214"
"lo","Lao","ລາວ","5555"
"lrc","Northern Luri","لۊری شومالی","1"
"lt","Lithuanian","lietuvių","226168"
"ltg","Latgalian","latgaļu","1153"
"lv","Latvian","latviešu","144158"
"lzh","Literary Chinese","文言","14085"
"mad","Madurese","Madhurâ","5353"
"mag","Magahi","मगही","1"
"mai","Maithili","मैथिली","14353"
"map-bms","Banyumasan","Basa Banyumasan","13972"
"mdf","Moksha","мокшень","7629"
"mg","Malagasy","Malagasy","103655"
"mh","Marshallese","Ebon","4"
"mhr","Eastern Mari","олык марий","11326"
"mi","Māori","Māori","8053"
"min","Minangkabau","Minangkabau","229624"
"mk","Macedonian","македонски","162794"
"ml","Malayalam","മലയാളം","88152"
"mn","Mongolian","монгол","27752"
"mni","Manipuri","ꯃꯤꯇꯩ ꯂꯣꯟ","10543"
"mnw","Mon","ဘာသာမန်","3883"
"mos","Mossi","moore","1319"
"mr","Marathi","मराठी","102229"
"mrj","Western Mari","кырык мары","10430"
"ms","Malay","Bahasa Melayu","439471"
"mt","Maltese","Malti","7885"
"mus","Muscogee","Mvskoke","1"
"mwl","Mirandese","Mirandés","4325"
"my","Burmese","မြန်မာဘာသာ","111072"
"myv","Erzya","эрзянь","7870"
"mzn","Mazanderani","مازِرونی","64665"
"nah","Nahuatl","Nāhuatl","4128"
"nan","Minnan","閩南語 / Bân-lâm-gí","434276"
"nap","Neapolitan","Napulitano","14960"
"nds","Low German","Plattdüütsch","85905"
"nds-nl","Low Saxon","Nedersaksies","8103"
"ne","Nepali","नेपाली","29863"
"new","Newari","नेपाल भाषा","74209"
"ng","Ndonga","Oshiwambo","8"
"nia","Nias","Li Niha","1776"
"nl","Dutch","Nederlands","2222090"
"nn","Norwegian Nynorsk","norsk nynorsk","178087"
"no","Norwegian","norsk","685956"
"nov","Novial","Novial","2071"
"nqo","N’Ko","ߒߞߏ","1611"
"nr","South Ndebele","isiNdebele seSewula","325"
"nrm","Norman","Nouormand","5061"
"nso","Northern Sotho","Sesotho sa Leboa","8935"
"nup","Nupe","Nupe","931"
"nv","Navajo","Diné bizaad","22667"
"ny","Nyanja","Chi-Chewa","1124"
"oc","Occitan","occitan","90795"
"olo","Livvi-Karelian","livvinkarjala","4997"
"om","Oromo","Oromoo","1979"
"or","Odia","ଓଡ଼ିଆ","20941"
"os","Ossetic","ирон","21748"
"pa","Punjabi","ਪੰਜਾਬੀ","59604"
"pag","Pangasinan","Pangasinan","2653"
"pam","Pampanga","Kapampangan","10219"
"pap","Papiamento","Papiamentu","5541"
"pcd","Picard","Picard","6123"
"pcm","Nigerian Pidgin","Naijá","1639"
"pdc","Pennsylvania German","Deitsch","2048"
"pfl","Palatine German","Pälzisch","2863"
"pi","Pali","पालि","302"
"pl","Polish","polski","1700019"
"pms","Piedmontese","Piemontèis","71534"
"pnb","Western Punjabi","پنجابی","75595"
"pnt","Pontic","Ποντιακά","666"
"ppl","Nawat","Nawat","252"
"ps","Pashto","پښتو","21319"
"pt","Portuguese","português","1176401"
"pwn","Paiwan","pinayuanan","377"
"qu","Quechua","Runa Simi","24551"
"rki","Arakanese","ရခိုင်","1387"
"rm","Romansh","rumantsch","3867"
"rmy","Vlax Romani","romani čhib","758"
"rn","Rundi","ikirundi","730"
"ro","Romanian","română","545311"
"roa-tara","Tarantino","tarandíne","9507"
"rsk","Pannonian Rusyn","руски","1389"
"ru","Russian","русский","2107669"
"rue","Rusyn","русиньскый","10263"
"rup","Aromanian","armãneashti","1390"
"rw","Kinyarwanda","Ikinyarwanda","9821"
"sa","Sanskrit","संस्कृतम्","12508"
"sah","Yakut","саха тыла","18208"
