"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"1908","CC BY-ND 4.0","Belarus","664"
"1909","CC BY-ND 4.0","Belgium","93100"
"1910","CC BY-ND 4.0","Belize","3"
"1911","CC BY-ND 4.0","Benin","404"
"1912","CC BY-ND 4.0","Bermuda","4"
"1913","CC BY-ND 4.0","Bhutan","919"
"1914","CC BY-ND 4.0","Bolivia","1740"
"1915","CC BY-ND 4.0","Bosnia and Herzegovina","2300"
"1916","CC BY-ND 4.0","Botswana","118"
"1917","CC BY-ND 4.0","Bouvet Island","0"
"1918","CC BY-ND 4.0","Brazil","428000"
"1919","CC BY-ND 4.0","British Indian Ocean Territory","0"
"1920","CC BY-ND 4.0","Brunei Darussalam","370"
"1921","CC BY-ND 4.0","Bulgaria","18300"
"1922","CC BY-ND 4.0","Burkina Faso","81"
"1923","CC BY-ND 4.0","Burundi","3"
"1924","CC BY-ND 4.0","Cambodia","2190"
"1925","CC BY-ND 4.0","Cameroon","111"
"1926","CC BY-ND 4.0","Canada","318000"
"1927","CC BY-ND 4.0","Cape Verde","15"
"1928","CC BY-ND 4.0","Cayman Islands","4"
"1929","CC BY-ND 4.0","Central African Republic","0"
"1930","CC BY-ND 4.0","Chad","40"
"1931","CC BY-ND 4.0","Chile","13400"
"1932","CC BY-ND 4.0","China","83400"
"1933","CC BY-ND 4.0","Christmas Island","8"
"1934","CC BY-ND 4.0","Cocos (Keeling) Islands","0"
"1935","CC BY-ND 4.0","Colombia","45900"
"1936","CC BY-ND 4.0","Comoros","0"
"1937","CC BY-ND 4.0","Congo","34"
"1938","CC BY-ND 4.0","Congo, the Democratic Republic of the","5"
"1939","CC BY-ND 4.0","Cook Islands","14"
"1940","CC BY-ND 4.0","Costa Rica","13200"
"1941","CC BY-ND 4.0","Cote D'ivoire","18"
"1942","CC BY-ND 4.0","Croatia (Hrvatska)","18800"
"1943","CC BY-ND 4.0","Cuba","17500"
"1944","CC BY-ND 4.0","Cyprus","5150"
"1945","CC BY-ND 4.0","Czech Republic","22000"
"1946","CC BY-ND 4.0","Denmark","42800"
"1947","CC BY-ND 4.0","Djibouti","5"
"1948","CC BY-ND 4.0","Dominica","0"
"1949","CC BY-ND 4.0","Dominican Republic","352"
"1950","CC BY-ND 4.0","East Timor","0"
"1951","CC BY-ND 4.0","Ecuador","34600"
"1952","CC BY-ND 4.0","Egypt","7190"
"1953","CC BY-ND 4.0","El Salvador","377"
"1954","CC BY-ND 4.0","Equatorial Guinea","0"
"1955","CC BY-ND 4.0","Eritrea","1"
"1956","CC BY-ND 4.0","Estonia","1890"
"1957","CC BY-ND 4.0","Ethiopia","2230"
"1958","CC BY-ND 4.0","European Union","0"
"1959","CC BY-ND 4.0","Falkland Islands (Malvinas)","6"
"1960","CC BY-ND 4.0","Faroe Islands","242"
"1961","CC BY-ND 4.0","Fiji","205"
"1962","CC BY-ND 4.0","Finland","87300"
"1963","CC BY-ND 4.0","France","264000"
"1964","CC BY-ND 4.0","France, Metropolitan","0"
"1965","CC BY-ND 4.0","French Guiana","0"
"1966","CC BY-ND 4.0","French Polynesia","6"
"1967","CC BY-ND 4.0","French Southern Territories","1"
"1968","CC BY-ND 4.0","Gabon","0"
"1969","CC BY-ND 4.0","Gambia","10"
"1970","CC BY-ND 4.0","Georgia","1180"
"1971","CC BY-ND 4.0","Germany","7480000"
"1972","CC BY-ND 4.0","Ghana","2530"
"1973","CC BY-ND 4.0","Gibraltar","4"
"1974","CC BY-ND 4.0","Greece","15600"
"1975","CC BY-ND 4.0","Greenland","8"
"1976","CC BY-ND 4.0","Grenada","5"
"1977","CC BY-ND 4.0","Guadeloupe","0"
"1978","CC BY-ND 4.0","Guam","0"
"1979","CC BY-ND 4.0","Guatemala","495"
"1980","CC BY-ND 4.0","Guinea","0"
"1981","CC BY-ND 4.0","Guinea-Bissau","5"
"1982","CC BY-ND 4.0","Guyana","9"
"1983","CC BY-ND 4.0","Haiti","6"
"1984","CC BY-ND 4.0","Heard Island and Mcdonald Islands","1"
"1985","CC BY-ND 4.0","Holy See (Vatican City State)","61"
"1986","CC BY-ND 4.0","Honduras","89"
"1987","CC BY-ND 4.0","Hong Kong","47000"
"1988","CC BY-ND 4.0","Hungary","16800"
"1989","CC BY-ND 4.0","Iceland","6310"
"1990","CC BY-ND 4.0","India","143000"
"1991","CC BY-ND 4.0","Indonesia","334000"
"1992","CC BY-ND 4.0","Iran, Islamic Republic of","93200"
"1993","CC BY-ND 4.0","Iraq","39800"
"1994","CC BY-ND 4.0","Ireland","107000"
"1995","CC BY-ND 4.0","Israel","3140"
"1996","CC BY-ND 4.0","Italy","201000"
"1997","CC BY-ND 4.0","Jamaica","84"
"1998","CC BY-ND 4.0","Japan","122000"
"1999","CC BY-ND 4.0","Jordan","1120"
"2000","CC BY-ND 4.0","Kazakhstan","2720"
"2001","CC BY-ND 4.0","Kenya","6600"
"2002","CC BY-ND 4.0","Kiribati","2"
"2003","CC BY-ND 4.0","Korea, Democratic People's Republic of","0"
"2004","CC BY-ND 4.0","Korea, Republic of","130000"
"2005","CC BY-ND 4.0","Kuwait","79"
"2006","CC BY-ND 4.0","Kyrgyzstan","141"
"2007","CC BY-ND 4.0","Lao People's Democratic Republic","7"
"2008","CC BY-ND 4.0","Latvia","3210"
"2009","CC BY-ND 4.0","Lebanon","1780"
"2010","CC BY-ND 4.0","Lesotho","108"
"2011","CC BY-ND 4.0","Liberia","3"
"2012","CC BY-ND 4.0","Libyan Arab Jamahiriya","6110"
"2013","CC BY-ND 4.0","Liechtenstein","49"
"2014","CC BY-ND 4.0","Lithuania","29900"
"2015","CC BY-ND 4.0","Luxembourg","9290"
"2016","CC BY-ND 4.0","Macao","65"
"2017","CC BY-ND 4.0","Macedonia, the Former Yugosalv Republic of","1760"
"2018","CC BY-ND 4.0","Madagascar","2610"
"2019","CC BY-ND 4.0","Malawi","490"
"2020","CC BY-ND 4.0","Malaysia","17600"
"2021","CC BY-ND 4.0","Maldives","78"
"2022","CC BY-ND 4.0","Mali","7"
"2023","CC BY-ND 4.0","Malta","1590"
"2024","CC BY-ND 4.0","Marshall Islands","0"
"2025","CC BY-ND 4.0","Martinique","3"
"2026","CC BY-ND 4.0","Mauritania","6"
"2027","CC BY-ND 4.0","Mauritius","45"
"2028","CC BY-ND 4.0","Mayotte","0"
"2029","CC BY-ND 4.0","Mexico","43200"
"2030","CC BY-ND 4.0","Micronesia, Federated States of","5"
"2031","CC BY-ND 4.0","Moldova, Republic of","1330"
"2032","CC BY-ND 4.0","Monaco","5"
"2033","CC BY-ND 4.0","Mongolia","82"
"2034","CC BY-ND 4.0","Montserrat","0"
"2035","CC BY-ND 4.0","Morocco","592"
"2036","CC BY-ND 4.0","Mozambique","139"
"2037","CC BY-ND 4.0","Myanmar","80"
"2038","CC BY-ND 4.0","Namibia","238"
"2039","CC BY-ND 4.0","Nauru","0"
"2040","CC BY-ND 4.0","Nepal","5480"
"2041","CC BY-ND 4.0","Netherlands","174000"
"2042","CC BY-ND 4.0","Netherlands Antilles","0"
"2043","CC BY-ND 4.0","New Caledonia","23"
"2044","CC BY-ND 4.0","New Zealand","25300"
"2045","CC BY-ND 4.0","Nicaragua","2660"
"2046","CC BY-ND 4.0","Niger","4"
"2047","CC BY-ND 4.0","Nigeria","14300"
"2048","CC BY-ND 4.0","Niue","1"
"2049","CC BY-ND 4.0","Norfolk Island","3"
"2050","CC BY-ND 4.0","Northern Mariana Islands","2"
"2051","CC BY-ND 4.0","Norway","20900"
"2052","CC BY-ND 4.0","Oman","1580"
"2053","CC BY-ND 4.0","Pakistan","14900"
"2054","CC BY-ND 4.0","Palau","5"
"2055","CC BY-ND 4.0","Palestinian Territory","381"
"2056","CC BY-ND 4.0","Panama","2160"
"2057","CC BY-ND 4.0","Papua New Guinea","34"
"2058","CC BY-ND 4.0","Paraguay","1200"
"2059","CC BY-ND 4.0","Peru","36200"
"2060","CC BY-ND 4.0","Philippines","9490"
"2061","CC BY-ND 4.0","Pitcairn","0"
"2062","CC BY-ND 4.0","Poland","211000"
"2063","CC BY-ND 4.0","Portugal","27100"
"2064","CC BY-ND 4.0","Puerto Rico","233"
"2065","CC BY-ND 4.0","Qatar","9590"
"2066","CC BY-ND 4.0","Reunion","7"
"2067","CC BY-ND 4.0","Romania","12600"
"2068","CC BY-ND 4.0","Russian Federation","104000"
"2069","CC BY-ND 4.0","Rwanda","4410"
"2070","CC BY-ND 4.0","Saint Helena","35"
"2071","CC BY-ND 4.0","Saint Kitts and Nevis","2"
"2072","CC BY-ND 4.0","Saint Lucia","5"
"2073","CC BY-ND 4.0","Saint Pierre and Miquelon","6"
"2074","CC BY-ND 4.0","Saint Vincent and the Grenadines","5"
"2075","CC BY-ND 4.0","Samoa","7"
"2076","CC BY-ND 4.0","San Marino","26"
"2077","CC BY-ND 4.0","Sao Tome and Principe","85"
"2078","CC BY-ND 4.0","Saudi Arabia","7520"
"2079","CC BY-ND 4.0","Senegal","52"
"2080","CC BY-ND 4.0","Serbia and Montenegro","367000000"
"2081","CC BY-ND 4.0","Seychelles","2"
"2082","CC BY-ND 4.0","Sierra Leone","62"
"2083","CC BY-ND 4.0","Singapore","69900"
"2084","CC BY-ND 4.0","Slovakia","3900"
"2085","CC BY-ND 4.0","Slovenia","91900"
"2086","CC BY-ND 4.0","Solomon Islands","3"
"2087","CC BY-ND 4.0","Somalia","6620"
"2088","CC BY-ND 4.0","South Africa","71400"
"2089","CC BY-ND 4.0","South Georgia and the South Sandwich Islands","1"
"2090","CC BY-ND 4.0","Spain","173000"
"2091","CC BY-ND 4.0","Sri Lanka","1530"
"2092","CC BY-ND 4.0","Sudan","71"
"2093","CC BY-ND 4.0","Suriname","6"
"2094","CC BY-ND 4.0","Svalbard and Jan Mayen","0"
"2095","CC BY-ND 4.0","Swaziland","4"
"2096","CC BY-ND 4.0","Sweden","75600"
"2097","CC BY-ND 4.0","Switzerland","187000"
"2098","CC BY-ND 4.0","Syrian Arab Republic","876"
"2099","CC BY-ND 4.0","Taiwan, Province of China","5100"
"2100","CC BY-ND 4.0","Tajikistan","280"
"2101","CC BY-ND 4.0","Tanzania, United Republic of","1670"
"2102","CC BY-ND 4.0","Thailand","12000"
"2103","CC BY-ND 4.0","Togo","10"
"2104","CC BY-ND 4.0","Tokelau","0"
"2105","CC BY-ND 4.0","Tonga","68"
"2106","CC BY-ND 4.0","Trinidad and Tobago","99"
"2107","CC BY-ND 4.0","Tunisia","299"
"2108","CC BY-ND 4.0","Turkey","95000"
"2109","CC BY-ND 4.0","Turkmenistan","10"
"2110","CC BY-ND 4.0","Turks and Caicos Islands","3"
"2111","CC BY-ND 4.0","Tuvalu","1"
"2112","CC BY-ND 4.0","Uganda","6220"
"2113","CC BY-ND 4.0","Ukraine","46700"
"2114","CC BY-ND 4.0","United Arab Emirates","2760"
"2115","CC BY-ND 4.0","United Kingdom","3480000"
"2116","CC BY-ND 4.0","United States","362000000"
"2117","CC BY-ND 4.0","United States Minor Outlying Islands","0"
"2118","CC BY-ND 4.0","Uruguay","3050"
"2119","CC BY-ND 4.0","Uzbekistan","5170"
"2120","CC BY-ND 4.0","Vanuatu","6"
"2121","CC BY-ND 4.0","Venezuela","4620"
"2122","CC BY-ND 4.0","Vietnam","11400"
"2123","CC BY-ND 4.0","Virgin Islands, British","666"
"2124","CC BY-ND 4.0","Virgin Islands, U.S.","2340"
"2125","CC BY-ND 4.0","Wallis and Futuna","4"
"2126","CC BY-ND 4.0","Western Sahara","0"
"2127","CC BY-ND 4.0","Yemen","1460"
"2128","CC BY-ND 4.0","Yugoslavia","0"
"2129","CC BY-ND 4.0","Zambia","1860"
"2130","CC BY-ND 4.0","Zimbabwe","696"
"2131","CC BY-SA 4.0","Afghanistan","136"
"2132","CC BY-SA 4.0","Albania","67"
"2133","CC BY-SA 4.0","Algeria","1690"
"2134","CC BY-SA 4.0","American Samoa","13"
"2135","CC BY-SA 4.0","Andorra","2"
"2136","CC BY-SA 4.0","Angola","56"
"2137","CC BY-SA 4.0","Anguilla","0"
"2138","CC BY-SA 4.0","Antarctica","1"
"2139","CC BY-SA 4.0","Antigua and Barbuda","3"
"2140","CC BY-SA 4.0","Argentina","27900"
"2141","CC BY-SA 4.0","Armenia","5640"
"2142","CC BY-SA 4.0","Aruba","240"
"2143","CC BY-SA 4.0","Australia","66700"
"2144","CC BY-SA 4.0","Austria","12600"
"2145","CC BY-SA 4.0","Azerbaijan","301"
"2146","CC BY-SA 4.0","Bahamas","2"
"2147","CC BY-SA 4.0","Bahrain","23"
"2148","CC BY-SA 4.0","Bangladesh","437"
"2149","CC BY-SA 4.0","Barbados","3"
"2150","CC BY-SA 4.0","Belarus","117"
"2151","CC BY-SA 4.0","Belgium","23100"
"2152","CC BY-SA 4.0","Belize","2"
"2153","CC BY-SA 4.0","Benin","161"
"2154","CC BY-SA 4.0","Bermuda","3"
"2155","CC BY-SA 4.0","Bhutan","8"
"2156","CC BY-SA 4.0","Bolivia","1330"
"2157","CC BY-SA 4.0","Bosnia and Herzegovina","644"
"2158","CC BY-SA 4.0","Botswana","56"
"2159","CC BY-SA 4.0","Bouvet Island","0"
"2160","CC BY-SA 4.0","Brazil","91000"
"2161","CC BY-SA 4.0","British Indian Ocean Territory","0"
"2162","CC BY-SA 4.0","Brunei Darussalam","109"
"2163","CC BY-SA 4.0","Bulgaria","3690"
"2164","CC BY-SA 4.0","Burkina Faso","53"
"2165","CC BY-SA 4.0","Burundi","4"
"2166","CC BY-SA 4.0","Cambodia","98"
"2167","CC BY-SA 4.0","Cameroon","32"
"2168","CC BY-SA 4.0","Canada","56400"
"2169","CC BY-SA 4.0","Cape Verde","6"
"2170","CC BY-SA 4.0","Cayman Islands","1"
"2171","CC BY-SA 4.0","Central African Republic","0"
"2172","CC BY-SA 4.0","Chad","1"
"2173","CC BY-SA 4.0","Chile","4960"
"2174","CC BY-SA 4.0","China","36800"
"2175","CC BY-SA 4.0","Christmas Island","7"
"2176","CC BY-SA 4.0","Cocos (Keeling) Islands","0"
"2177","CC BY-SA 4.0","Colombia","19100"
"2178","CC BY-SA 4.0","Comoros","0"
"2179","CC BY-SA 4.0","Congo","8"
"2180","CC BY-SA 4.0","Congo, the Democratic Republic of the","9"
"2181","CC BY-SA 4.0","Cook Islands","9"
"2182","CC BY-SA 4.0","Costa Rica","4510"
"2183","CC BY-SA 4.0","Cote D'ivoire","10"
"2184","CC BY-SA 4.0","Croatia (Hrvatska)","8150"
"2185","CC BY-SA 4.0","Cuba","4340"
"2186","CC BY-SA 4.0","Cyprus","181"
"2187","CC BY-SA 4.0","Czech Republic","11300"
"2188","CC BY-SA 4.0","Denmark","13100"
"2189","CC BY-SA 4.0","Djibouti","3"
"2190","CC BY-SA 4.0","Dominica","0"
"2191","CC BY-SA 4.0","Dominican Republic","82"
"2192","CC BY-SA 4.0","East Timor","0"
"2193","CC BY-SA 4.0","Ecuador","20800"
"2194","CC BY-SA 4.0","Egypt","3990"
"2195","CC BY-SA 4.0","El Salvador","156"
"2196","CC BY-SA 4.0","Equatorial Guinea","0"
"2197","CC BY-SA 4.0","Eritrea","1"
"2198","CC BY-SA 4.0","Estonia","634"
"2199","CC BY-SA 4.0","Ethiopia","454"
"2200","CC BY-SA 4.0","European Union","0"
"2201","CC BY-SA 4.0","Falkland Islands (Malvinas)","7"
"2202","CC BY-SA 4.0","Faroe Islands","86"
"2203","CC BY-SA 4.0","Fiji","107"
"2204","CC BY-SA 4.0","Finland","25700"
"2205","CC BY-SA 4.0","France","139000"
"2206","CC BY-SA 4.0","France, Metropolitan","0"
"2207","CC BY-SA 4.0","French Guiana","1"
"2208","CC BY-SA 4.0","French Polynesia","3"
"2209","CC BY-SA 4.0","French Southern Territories","1"
"2210","CC BY-SA 4.0","Gabon","0"
"2211","CC BY-SA 4.0","Gambia","3"
"2212","CC BY-SA 4.0","Georgia","766"
"2213","CC BY-SA 4.0","Germany","516000"
"2214","CC BY-SA 4.0","Ghana","704"
"2215","CC BY-SA 4.0","Gibraltar","3"
"2216","CC BY-SA 4.0","Greece","7360"
"2217","CC BY-SA 4.0","Greenland","9"
"2218","CC BY-SA 4.0","Grenada","3"
"2219","CC BY-SA 4.0","Guadeloupe","0"
"2220","CC BY-SA 4.0","Guam","0"
"2221","CC BY-SA 4.0","Guatemala","229"
"2222","CC BY-SA 4.0","Guinea","0"
"2223","CC BY-SA 4.0","Guinea-Bissau","0"
"2224","CC BY-SA 4.0","Guyana","7"
"2225","CC BY-SA 4.0","Haiti","75"
"2226","CC BY-SA 4.0","Heard Island and Mcdonald Islands","0"
"2227","CC BY-SA 4.0","Holy See (Vatican City State)","3"
"2228","CC BY-SA 4.0","Honduras","47"
"2229","CC BY-SA 4.0","Hong Kong","9950"
"2230","CC BY-SA 4.0","Hungary","6040"
"2231","CC BY-SA 4.0","Iceland","957"
"2232","CC BY-SA 4.0","India","26900"
"2233","CC BY-SA 4.0","Indonesia","115000"
"2234","CC BY-SA 4.0","Iran, Islamic Republic of","28400"
"2235","CC BY-SA 4.0","Iraq","8070"
"2236","CC BY-SA 4.0","Ireland","28500"
"2237","CC BY-SA 4.0","Israel","596"
"2238","CC BY-SA 4.0","Italy","68800"
"2239","CC BY-SA 4.0","Jamaica","9"
"2240","CC BY-SA 4.0","Japan","32300"
"2241","CC BY-SA 4.0","Jordan","215"
"2242","CC BY-SA 4.0","Kazakhstan","592"
"2243","CC BY-SA 4.0","Kenya","2590"
"2244","CC BY-SA 4.0","Kiribati","1"
"2245","CC BY-SA 4.0","Korea, Democratic People's Republic of","0"
"2246","CC BY-SA 4.0","Korea, Republic of","36100"
"2247","CC BY-SA 4.0","Kuwait","25"
"2248","CC BY-SA 4.0","Kyrgyzstan","47"
"2249","CC BY-SA 4.0","Lao People's Democratic Republic","1"
"2250","CC BY-SA 4.0","Latvia","587"
"2251","CC BY-SA 4.0","Lebanon","779"
"2252","CC BY-SA 4.0","Lesotho","28"
"2253","CC BY-SA 4.0","Liberia","1"
"2254","CC BY-SA 4.0","Libyan Arab Jamahiriya","826"
"2255","CC BY-SA 4.0","Liechtenstein","17"
"2256","CC BY-SA 4.0","Lithuania","9510"
"2257","CC BY-SA 4.0","Luxembourg","2860"
"2258","CC BY-SA 4.0","Macao","15"
"2259","CC BY-SA 4.0","Macedonia, the Former Yugosalv Republic of","706"
"2260","CC BY-SA 4.0","Madagascar","4750"
"2261","CC BY-SA 4.0","Malawi","47"
"2262","CC BY-SA 4.0","Malaysia","5630"
"2263","CC BY-SA 4.0","Maldives","9"
"2264","CC BY-SA 4.0","Mali","4"
"2265","CC BY-SA 4.0","Malta","334"
"2266","CC BY-SA 4.0","Marshall Islands","0"
"2267","CC BY-SA 4.0","Martinique","2"
"2268","CC BY-SA 4.0","Mauritania","6"
"2269","CC BY-SA 4.0","Mauritius","20"
"2270","CC BY-SA 4.0","Mayotte","0"
"2271","CC BY-SA 4.0","Mexico","13700"
"2272","CC BY-SA 4.0","Micronesia, Federated States of","2"
"2273","CC BY-SA 4.0","Moldova, Republic of","355"
"2274","CC BY-SA 4.0","Monaco","3"
"2275","CC BY-SA 4.0","Mongolia","15"
"2276","CC BY-SA 4.0","Montserrat","0"
"2277","CC BY-SA 4.0","Morocco","180"
"2278","CC BY-SA 4.0","Mozambique","59"
"2279","CC BY-SA 4.0","Myanmar","9"
"2280","CC BY-SA 4.0","Namibia","54"
"2281","CC BY-SA 4.0","Nauru","1"
"2282","CC BY-SA 4.0","Nepal","701"
"2283","CC BY-SA 4.0","Netherlands","58900"
"2284","CC BY-SA 4.0","Netherlands Antilles","0"
"2285","CC BY-SA 4.0","New Caledonia","18"
"2286","CC BY-SA 4.0","New Zealand","4200"
"2287","CC BY-SA 4.0","Nicaragua","5600"
"2288","CC BY-SA 4.0","Niger","1"
"2289","CC BY-SA 4.0","Nigeria","4980"
"2290","CC BY-SA 4.0","Niue","1"
"2291","CC BY-SA 4.0","Norfolk Island","2"
"2292","CC BY-SA 4.0","Northern Mariana Islands","1"
"2293","CC BY-SA 4.0","Norway","3460"
"2294","CC BY-SA 4.0","Oman","303"
"2295","CC BY-SA 4.0","Pakistan","4030"
"2296","CC BY-SA 4.0","Palau","1"
"2297","CC BY-SA 4.0","Palestinian Territory","146"
"2298","CC BY-SA 4.0","Panama","2690"
"2299","CC BY-SA 4.0","Papua New Guinea","19"
"2300","CC BY-SA 4.0","Paraguay","336"
"2301","CC BY-SA 4.0","Peru","17200"
"2302","CC BY-SA 4.0","Philippines","3670"
"2303","CC BY-SA 4.0","Pitcairn","0"
"2304","CC BY-SA 4.0","Poland","226000"
"2305","CC BY-SA 4.0","Portugal","10800"
"2306","CC BY-SA 4.0","Puerto Rico","44"
"2307","CC BY-SA 4.0","Qatar","1760"
"2308","CC BY-SA 4.0","Reunion","259"
"2309","CC BY-SA 4.0","Romania","4340"
"2310","CC BY-SA 4.0","Russian Federation","29500"
"2311","CC BY-SA 4.0","Rwanda","3810"
"2312","CC BY-SA 4.0","Saint Helena","5"
"2313","CC BY-SA 4.0","Saint Kitts and Nevis","2"
"2314","CC BY-SA 4.0","Saint Lucia","5"
"2315","CC BY-SA 4.0","Saint Pierre and Miquelon","16"
"2316","CC BY-SA 4.0","Saint Vincent and the Grenadines","4"
"2317","CC BY-SA 4.0","Samoa","6"
"2318","CC BY-SA 4.0","San Marino","11"
"2319","CC BY-SA 4.0","Sao Tome and Principe","7"
"2320","CC BY-SA 4.0","Saudi Arabia","5980"
"2321","CC BY-SA 4.0","Senegal","25"
"2322","CC BY-SA 4.0","Serbia and Montenegro","204000000"
"2323","CC BY-SA 4.0","Seychelles","2"
"2324","CC BY-SA 4.0","Sierra Leone","9"
"2325","CC BY-SA 4.0","Singapore","15700"
"2326","CC BY-SA 4.0","Slovakia","1960"
"2327","CC BY-SA 4.0","Slovenia","10200"
"2328","CC BY-SA 4.0","Solomon Islands","1"
"2329","CC BY-SA 4.0","Somalia","7190"
"2330","CC BY-SA 4.0","South Africa","34500"
"2331","CC BY-SA 4.0","South Georgia and the South Sandwich Islands","1"
"2332","CC BY-SA 4.0","Spain","66900"
"2333","CC BY-SA 4.0","Sri Lanka","396"
"2334","CC BY-SA 4.0","Sudan","10"
"2335","CC BY-SA 4.0","Suriname","5"
"2336","CC BY-SA 4.0","Svalbard and Jan Mayen","0"
"2337","CC BY-SA 4.0","Swaziland","1"
"2338","CC BY-SA 4.0","Sweden","23600"
"2339","CC BY-SA 4.0","Switzerland","49100"
"2340","CC BY-SA 4.0","Syrian Arab Republic","399"
"2341","CC BY-SA 4.0","Taiwan, Province of China","1450"
"2342","CC BY-SA 4.0","Tajikistan","68"
"2343","CC BY-SA 4.0","Tanzania, United Republic of","391"
"2344","CC BY-SA 4.0","Thailand","1570"
"2345","CC BY-SA 4.0","Togo","2"
"2346","CC BY-SA 4.0","Tokelau","0"
"2347","CC BY-SA 4.0","Tonga","9"
"2348","CC BY-SA 4.0","Trinidad and Tobago","17"
"2349","CC BY-SA 4.0","Tunisia","59"
"2350","CC BY-SA 4.0","Turkey","23500"
"2351","CC BY-SA 4.0","Turkmenistan","5"
"2352","CC BY-SA 4.0","Turks and Caicos Islands","0"
"2353","CC BY-SA 4.0","Tuvalu","1"
"2354","CC BY-SA 4.0","Uganda","1480"
"2355","CC BY-SA 4.0","Ukraine","9560"
"2356","CC BY-SA 4.0","United Arab Emirates","635"
"2357","CC BY-SA 4.0","United Kingdom","200000"
"2358","CC BY-SA 4.0","United States","140000000"
"2359","CC BY-SA 4.0","United States Minor Outlying Islands","0"
"2360","CC BY-SA 4.0","Uruguay","903"
"2361","CC BY-SA 4.0","Uzbekistan","475"
"2362","CC BY-SA 4.0","Vanuatu","3"
"2363","CC BY-SA 4.0","Venezuela","2550"
"2364","CC BY-SA 4.0","Vietnam","3840"
"2365","CC BY-SA 4.0","Virgin Islands, British","128"
"2366","CC BY-SA 4.0","Virgin Islands, U.S.","1000"
"2367","CC BY-SA 4.0","Wallis and Futuna","2"
"2368","CC BY-SA 4.0","Western Sahara","0"
"2369","CC BY-SA 4.0","Yemen","242"
"2370","CC BY-SA 4.0","Yugoslavia","0"
"2371","CC BY-SA 4.0","Zambia","69"
"2372","CC BY-SA 4.0","Zimbabwe","79"
"2373","PDM 1.0","Afghanistan","1"
"2374","PDM 1.0","Albania","3"
"2375","PDM 1.0","Algeria","1"
"2376","PDM 1.0","American Samoa","1"
"2377","PDM 1.0","Andorra","0"
"2378","PDM 1.0","Angola","0"
"2379","PDM 1.0","Anguilla","0"
"2380","PDM 1.0","Antarctica","0"
"2381","PDM 1.0","Antigua and Barbuda","0"
"2382","PDM 1.0","Argentina","33"
"2383","PDM 1.0","Armenia","8"
"2384","PDM 1.0","Aruba","8"
"2385","PDM 1.0","Australia","1590"
"2386","PDM 1.0","Austria","955"
"2387","PDM 1.0","Azerbaijan","1"
"2388","PDM 1.0","Bahamas","0"
"2389","PDM 1.0","Bahrain","0"
"2390","PDM 1.0","Bangladesh","1"
"2391","PDM 1.0","Barbados","0"
"2392","PDM 1.0","Belarus","4"
"2393","PDM 1.0","Belgium","692"
"2394","PDM 1.0","Belize","0"
"2395","PDM 1.0","Benin","4"
"2396","PDM 1.0","Bermuda","0"
"2397","PDM 1.0","Bhutan","2"
"2398","PDM 1.0","Bolivia","1"
"2399","PDM 1.0","Bosnia and Herzegovina","6"
"2400","PDM 1.0","Botswana","0"
"2401","PDM 1.0","Bouvet Island","0"
"2402","PDM 1.0","Brazil","167"
"2403","PDM 1.0","British Indian Ocean Territory","0"
"2404","PDM 1.0","Brunei Darussalam","25"
"2405","PDM 1.0","Bulgaria","17"
"2406","PDM 1.0","Burkina Faso","0"
"2407","PDM 1.0","Burundi","0"
"2408","PDM 1.0","Cambodia","1"
"2409","PDM 1.0","Cameroon","0"
"2410","PDM 1.0","Canada","1120"
"2411","PDM 1.0","Cape Verde","0"
"2412","PDM 1.0","Cayman Islands","0"
"2413","PDM 1.0","Central African Republic","0"
"2414","PDM 1.0","Chad","0"
"2415","PDM 1.0","Chile","42"
"2416","PDM 1.0","China","8430"
"2417","PDM 1.0","Christmas Island","1"
"2418","PDM 1.0","Cocos (Keeling) Islands","0"
"2419","PDM 1.0","Colombia","14"
"2420","PDM 1.0","Comoros","0"
"2421","PDM 1.0","Congo","0"
"2422","PDM 1.0","Congo, the Democratic Republic of the","0"
"2423","PDM 1.0","Cook Islands","2"
"2424","PDM 1.0","Costa Rica","2"
"2425","PDM 1.0","Cote D'ivoire","0"
"2426","PDM 1.0","Croatia (Hrvatska)","26"
"2427","PDM 1.0","Cuba","0"
"2428","PDM 1.0","Cyprus","2"
"2429","PDM 1.0","Czech Republic","2090"
"2430","PDM 1.0","Denmark","186"
"2431","PDM 1.0","Djibouti","0"
"2432","PDM 1.0","Dominica","0"
"2433","PDM 1.0","Dominican Republic","0"
"2434","PDM 1.0","East Timor","0"
"2435","PDM 1.0","Ecuador","9"
"2436","PDM 1.0","Egypt","2"
"2437","PDM 1.0","El Salvador","10"
"2438","PDM 1.0","Equatorial Guinea","0"
"2439","PDM 1.0","Eritrea","0"
"2440","PDM 1.0","Estonia","8"
"2441","PDM 1.0","Ethiopia","32"
"2442","PDM 1.0","European Union","0"
"2443","PDM 1.0","Falkland Islands (Malvinas)","0"
"2444","PDM 1.0","Faroe Islands","2"
"2445","PDM 1.0","Fiji","5"
"2446","PDM 1.0","Finland","855"
"2447","PDM 1.0","France","2900"
"2448","PDM 1.0","France, Metropolitan","0"
"2449","PDM 1.0","French Guiana","0"
"2450","PDM 1.0","French Polynesia","0"
"2451","PDM 1.0","French Southern Territories","0"
"2452","PDM 1.0","Gabon","0"
"2453","PDM 1.0","Gambia","0"
"2454","PDM 1.0","Georgia","1"
