"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"88","CC BY-NC 3.0 CR","5500000"
"89","CC BY-NC-ND 3.0 CR","5500000"
"90","CC BY-NC-SA 3.0 CR","754000"
"91","CC BY-ND 3.0 CR","24900000"
"92","CC BY-SA 3.0 CR","16100000"
"93","CC BY 3.0 CZ","335000"
"94","CC BY-NC 3.0 CZ","136000"
"95","CC BY-NC-ND 3.0 CZ","136000"
"96","CC BY-NC-SA 3.0 CZ","80900"
"97","CC BY-ND 3.0 CZ","348000"
"98","CC BY-SA 3.0 CZ","185000"
"99","CC BY 3.0 DE","354000000"
"100","CC BY-NC 3.0 DE","116000000"
"101","CC BY-NC-ND 3.0 DE","19600000"
"102","CC BY-NC-SA 3.0 DE","57200000"
"103","CC BY-ND 3.0 DE","104000000"
"104","CC BY-SA 3.0 DE","191000000"
"105","CC BY 3.0 EC","142000000"
"106","CC BY-NC 3.0 EC","34300000"
"107","CC BY-NC-ND 3.0 EC","6630000"
"108","CC BY-NC-SA 3.0 EC","16200000"
"109","CC BY-ND 3.0 EC","29300000"
"110","CC BY-SA 3.0 EC","81600000"
"111","CC BY 3.0 EE","10700000"
"112","CC BY-NC 3.0 EE","740000"
"113","CC BY-NC-ND 3.0 EE","740000"
"114","CC BY-NC-SA 3.0 EE","423000"
"115","CC BY-ND 3.0 EE","10600000"
"116","CC BY-SA 3.0 EE","3190000"
"117","CC BY 3.0 EG","95500000"
"118","CC BY-NC 3.0 EG","22200000"
"119","CC BY-NC-ND 3.0 EG","22200000"
"120","CC BY-NC-SA 3.0 EG","10800000"
"121","CC BY-ND 3.0 EG","102000000"
"122","CC BY-SA 3.0 EG","41800000"
"123","CC BY 3.0 ES","29800000"
"124","CC BY-NC 3.0 ES","6060000"
"125","CC BY-NC-ND 3.0 ES","4250000"
"126","CC BY-NC-SA 3.0 ES","1110000"
"127","CC BY-ND 3.0 ES","28800000"
"128","CC BY-SA 3.0 ES","17400000"
"129","CC BY 3.0 FR","376000000"
"130","CC BY-NC 3.0 FR","146000000"
"131","CC BY-NC-ND 3.0 FR","34000000"
"132","CC BY-NC-SA 3.0 FR","69700000"
"133","CC BY-ND 3.0 FR","138000000"
"134","CC BY-SA 3.0 FR","218000000"
"135","CC BY 3.0 GE","94600000"
"136","CC BY-NC 3.0 GE","23300000"
"137","CC BY-NC-ND 3.0 GE","4980000"
"138","CC BY-NC-SA 3.0 GE","12400000"
"139","CC BY-ND 3.0 GE","19900000"
"140","CC BY-SA 3.0 GE","52200000"
"141","CC BY 3.0 GR","51800000"
"142","CC BY-NC 3.0 GR","13400000"
"143","CC BY-NC-ND 3.0 GR","12500000"
"144","CC BY-NC-SA 3.0 GR","5430000"
"145","CC BY-ND 3.0 GR","51700000"
"146","CC BY-SA 3.0 GR","22800000"
"147","CC BY 3.0 GT","25500000"
"148","CC BY-NC 3.0 GT","5560000"
"149","CC BY-NC-ND 3.0 GT","341000"
"150","CC BY-NC-SA 3.0 GT","717000"
"151","CC BY-ND 3.0 GT","4630000"
"152","CC BY-SA 3.0 GT","13300000"
"153","CC BY 3.0 HK","12900000"
"154","CC BY-NC 3.0 HK","672000"
"155","CC BY-NC-ND 3.0 HK","672000"
"156","CC BY-NC-SA 3.0 HK","296000"
"157","CC BY-ND 3.0 HK","12800000"
"158","CC BY-SA 3.0 HK","2650000"
"159","CC BY 3.0 HR","36000000"
"160","CC BY-NC 3.0 HR","9160000"
"161","CC BY-NC-ND 3.0 HR","9160000"
"162","CC BY-NC-SA 3.0 HR","1110000"
"163","CC BY-ND 3.0 HR","39000000"
"164","CC BY-SA 3.0 HR","19200000"
"165","CC BY 3.0 IE","238000000"
"166","CC BY-NC 3.0 IE","70000000"
"167","CC BY-NC-ND 3.0 IE","14000000"
"168","CC BY-NC-SA 3.0 IE","26400000"
"169","CC BY-ND 3.0 IE","62400000"
"170","CC BY-SA 3.0 IE","117000000"
"171","CC BY 3.0 IGO","239000"
"172","CC BY-NC 3.0 IGO","119000"
"173","CC BY-NC-ND 3.0 IGO","118000"
"174","CC BY-NC-SA 3.0 IGO","96000"
"175","CC BY-ND 3.0 IGO","225000"
"176","CC BY-SA 3.0 IGO","144000"
"177","CC BY 3.0 IT","376000000"
"178","CC BY-NC 3.0 IT","147000000"
"179","CC BY-NC-ND 3.0 IT","34200000"
"180","CC BY-NC-SA 3.0 IT","69900000"
"181","CC BY-ND 3.0 IT","139000000"
"182","CC BY-SA 3.0 IT","226000000"
"183","CC BY 3.0 LU","26000000"
"184","CC BY-NC 3.0 LU","6930000"
"185","CC BY-NC-ND 3.0 LU","6930000"
"186","CC BY-NC-SA 3.0 LU","728000"
"187","CC BY-ND 3.0 LU","26000000"
"188","CC BY-SA 3.0 LU","14100000"
"189","CC BY 3.0 NL","11400000"
"190","CC BY-NC 3.0 NL","605000"
"191","CC BY-NC-ND 3.0 NL","604000"
"192","CC BY-NC-SA 3.0 NL","293000"
"193","CC BY-ND 3.0 NL","13100000"
"194","CC BY-SA 3.0 NL","7540000"
"195","CC BY 3.0 NO","376000000"
"196","CC BY-NC 3.0 NO","146000000"
"197","CC BY-NC-ND 3.0 NO","32700000"
"198","CC BY-NC-SA 3.0 NO","69400000"
"199","CC BY-ND 3.0 NO","136000000"
"200","CC BY-SA 3.0 NO","221000000"
"201","CC BY 3.0 NZ","354000"
"202","CC BY-NC 3.0 NZ","126000"
"203","CC BY-NC-ND 3.0 NZ","146000"
"204","CC BY-NC-SA 3.0 NZ","82600"
"205","CC BY-ND 3.0 NZ","412000"
"206","CC BY-SA 3.0 NZ","143000"
"207","CC BY 3.0 PH","158000000"
"208","CC BY-NC 3.0 PH","42300000"
"209","CC BY-NC-ND 3.0 PH","10200000"
"210","CC BY-NC-SA 3.0 PH","19600000"
"211","CC BY-ND 3.0 PH","37000000"
"212","CC BY-SA 3.0 PH","85200000"
"213","CC BY 3.0 PL","75700000"
"214","CC BY-NC 3.0 PL","16400000"
"215","CC BY-NC-ND 3.0 PL","751000"
"216","CC BY-NC-SA 3.0 PL","7400000"
"217","CC BY-ND 3.0 PL","14400000"
"218","CC BY-SA 3.0 PL","39800000"
"219","CC BY 3.0 PR","19300000"
"220","CC BY-NC 3.0 PR","4650000"
"221","CC BY-NC-ND 3.0 PR","4650000"
"222","CC BY-NC-SA 3.0 PR","775000"
"223","CC BY-ND 3.0 PR","20400000"
"224","CC BY-SA 3.0 PR","9590000"
"225","CC BY 3.0 PT","89800000"
"226","CC BY-NC 3.0 PT","20900000"
"227","CC BY-NC-ND 3.0 PT","2060000"
"228","CC BY-NC-SA 3.0 PT","8570000"
"229","CC BY-ND 3.0 PT","18000000"
"230","CC BY-SA 3.0 PT","45200000"
"231","CC BY 3.0 RO","9490000"
"232","CC BY-NC 3.0 RO","851000"
"233","CC BY-NC-ND 3.0 RO","850000"
"234","CC BY-NC-SA 3.0 RO","456000"
"235","CC BY-ND 3.0 RO","9590000"
"236","CC BY-SA 3.0 RO","4810000"
"237","CC BY 3.0 RS","24100000"
"238","CC BY-NC 3.0 RS","6080000"
"239","CC BY-NC-ND 3.0 RS","6080000"
"240","CC BY-NC-SA 3.0 RS","857000"
"241","CC BY-ND 3.0 RS","23800000"
"242","CC BY-SA 3.0 RS","13300000"
"243","CC BY 3.0 SG","18600000"
"244","CC BY-NC 3.0 SG","2600000"
"245","CC BY-NC-ND 3.0 SG","2610000"
"246","CC BY-NC-SA 3.0 SG","532000"
"247","CC BY-ND 3.0 SG","20000000"
"248","CC BY-SA 3.0 SG","9920000"
"249","CC BY 3.0 TH","114000000"
"250","CC BY-NC 3.0 TH","33800000"
"251","CC BY-NC-ND 3.0 TH","33900000"
"252","CC BY-NC-SA 3.0 TH","15400000"
"253","CC BY-ND 3.0 TH","138000000"
"254","CC BY-SA 3.0 TH","65800000"
"255","CC BY 3.0 TW","46700000"
"256","CC BY-NC 3.0 TW","13800000"
"257","CC BY-NC-ND 3.0 TW","13800000"
"258","CC BY-NC-SA 3.0 TW","1310000"
"259","CC BY-ND 3.0 TW","46000000"
"260","CC BY-SA 3.0 TW","17600000"
"261","CC BY 3.0 UG","58300000"
"262","CC BY-NC 3.0 UG","16400000"
"263","CC BY-NC-ND 3.0 UG","1140000"
"264","CC BY-NC-SA 3.0 UG","6300000"
"265","CC BY-ND 3.0 UG","16100000"
"266","CC BY-SA 3.0 UG","25600000"
"267","CC BY 3.0 US","377000000"
"268","CC BY-NC 3.0 US","144000000"
"269","CC BY-NC-ND 3.0 US","17500000"
"270","CC BY-NC-SA 3.0 US","67600000"
"271","CC BY-ND 3.0 US","81900000"
"272","CC BY-SA 3.0 US","212000000"
"273","CC BY 3.0 VE","125000000"
"274","CC BY-NC 3.0 VE","31800000"
"275","CC BY-NC-ND 3.0 VE","31800000"
"276","CC BY-NC-SA 3.0 VE","14700000"
"277","CC BY-ND 3.0 VE","130000000"
"278","CC BY-SA 3.0 VE","60300000"
"279","CC BY 3.0 VN","4220000"
"280","CC BY-NC 3.0 VN","272000"
"281","CC BY-NC-ND 3.0 VN","272000"
"282","CC BY-NC-SA 3.0 VN","171000"
"283","CC BY-ND 3.0 VN","3820000"
"284","CC BY-SA 3.0 VN","563000"
"285","CC BY 3.0 ZA","4190000"
"286","CC BY-NC 3.0 ZA","307000"
"287","CC BY-NC-ND 3.0 ZA","306000"
"288","CC BY-NC-SA 3.0 ZA","205000"
"289","CC BY-ND 3.0 ZA","3300000"
"290","CC BY-SA 3.0 ZA","856000"
"291","CC BY 2.5 AR","55500000"
"292","CC BY-NC 2.5 AR","13500000"
"293","CC BY-NC-ND 2.5 AR","13500000"
"294","CC BY-NC-SA 2.5 AR","5650000"
"295","CC BY-ND 2.5 AR","57300000"
"296","CC BY-SA 2.5 AR","26800000"
"297","CC BY 2.5 AU","40500000"
"298","CC BY-NC 2.5 AU","8180000"
"299","CC BY-NC-ND 2.5 AU","8180000"
"300","CC BY-NC-SA 2.5 AU","985000"
"301","CC BY-ND 2.5 AU","42600000"
"302","CC BY-SA 2.5 AU","18400000"
"303","CC BY 2.5 BG","26800000"
"304","CC BY-NC 2.5 BG","5650000"
"305","CC BY-NC-ND 2.5 BG","5650000"
"306","CC BY-NC-SA 2.5 BG","662000"
"307","CC BY-ND 2.5 BG","27700000"
"308","CC BY-SA 2.5 BG","14900000"
"309","CC BY 2.5 BR","42400000"
"310","CC BY-NC 2.5 BR","11200000"
"311","CC BY-NC-ND 2.5 BR","11200000"
"312","CC BY-NC-SA 2.5 BR","1820000"
"313","CC BY-ND 2.5 BR","44400000"
"314","CC BY-SA 2.5 BR","20600000"
"315","CC BY 2.5 CA","109000000"
"316","CC BY-NC 2.5 CA","25600000"
"317","CC BY-NC-ND 2.5 CA","25600000"
"318","CC BY-NC-SA 2.5 CA","12100000"
"319","CC BY-ND 2.5 CA","112000000"
"320","CC BY-SA 2.5 CA","52600000"
"321","CC BY 2.5 CH","80900000"
"322","CC BY-NC 2.5 CH","17600000"
"323","CC BY-NC-ND 2.5 CH","17800000"
"324","CC BY-NC-SA 2.5 CH","7550000"
"325","CC BY-ND 2.5 CH","82500000"
"326","CC BY-SA 2.5 CH","35200000"
"327","CC BY 2.5 CN","24200000"
"328","CC BY-NC 2.5 CN","6450000"
"329","CC BY-NC-ND 2.5 CN","6450000"
"330","CC BY-NC-SA 2.5 CN","507000"
"331","CC BY-ND 2.5 CN","24900000"
"332","CC BY-SA 2.5 CN","13300000"
"333","CC BY 2.5 CO","122000000"
"334","CC BY-NC 2.5 CO","27300000"
"335","CC BY-NC-ND 2.5 CO","27400000"
"336","CC BY-NC-SA 2.5 CO","13900000"
"337","CC BY-ND 2.5 CO","125000000"
"338","CC BY-SA 2.5 CO","60300000"
"339","CC BY 2.5 DK","18600000"
"340","CC BY-NC 2.5 DK","884000"
"341","CC BY-NC-ND 2.5 DK","884000"
"342","CC BY-NC-SA 2.5 DK","357000"
"343","CC BY-ND 2.5 DK","19200000"
"344","CC BY-SA 2.5 DK","9140000"
"345","CC BY 2.5 ES","36900000"
"346","CC BY-NC 2.5 ES","8700000"
"347","CC BY-NC-ND 2.5 ES","8680000"
"348","CC BY-NC-SA 2.5 ES","1860000"
"349","CC BY-ND 2.5 ES","38000000"
"350","CC BY-SA 2.5 ES","19600000"
"351","CC BY 2.5 HR","64800000"
"352","CC BY-NC 2.5 HR","15100000"
"353","CC BY-NC-ND 2.5 HR","15100000"
"354","CC BY-NC-SA 2.5 HR","5720000"
"355","CC BY-ND 2.5 HR","67200000"
"356","CC BY-SA 2.5 HR","25800000"
"357","CC BY 2.5 HU","50100000"
"358","CC BY-NC 2.5 HU","13200000"
"359","CC BY-NC-ND 2.5 HU","13200000"
"360","CC BY-NC-SA 2.5 HU","3950000"
"361","CC BY-ND 2.5 HU","51900000"
"362","CC BY-SA 2.5 HU","24200000"
"363","CC BY 2.5 IL","31100000"
"364","CC BY-NC 2.5 IL","8560000"
"365","CC BY-NC-ND 2.5 IL","8690000"
"366","CC BY-NC-SA 2.5 IL","958000"
"367","CC BY-ND 2.5 IL","31600000"
"368","CC BY-SA 2.5 IL","17100000"
"369","CC BY 2.5 IN","157000000"
"370","CC BY-NC 2.5 IN","40100000"
"371","CC BY-NC-ND 2.5 IN","40500000"
"372","CC BY-NC-SA 2.5 IN","18200000"
"373","CC BY-ND 2.5 IN","161000000"
"374","CC BY-SA 2.5 IN","79100000"
"375","CC BY 2.5 IT","157000000"
"376","CC BY-NC 2.5 IT","40500000"
"377","CC BY-NC-ND 2.5 IT","40500000"
"378","CC BY-NC-SA 2.5 IT","18200000"
"379","CC BY-ND 2.5 IT","161000000"
"380","CC BY-SA 2.5 IT","79500000"
"381","CC BY 2.5 MK","31900000"
"382","CC BY-NC 2.5 MK","7120000"
"383","CC BY-NC-ND 2.5 MK","7120000"
"384","CC BY-NC-SA 2.5 MK","754000"
"385","CC BY-ND 2.5 MK","33100000"
"386","CC BY-SA 2.5 MK","17900000"
"387","CC BY 2.5 MT","40700000"
"388","CC BY-NC 2.5 MT","9890000"
"389","CC BY-NC-ND 2.5 MT","9930000"
"390","CC BY-NC-SA 2.5 MT","1450000"
"391","CC BY-ND 2.5 MT","42300000"
"392","CC BY-SA 2.5 MT","20700000"
"393","CC BY 2.5 MX","11900000"
"394","CC BY-NC 2.5 MX","438000"
"395","CC BY-NC-ND 2.5 MX","438000"
"396","CC BY-NC-SA 2.5 MX","260000"
"397","CC BY-ND 2.5 MX","12400000"
"398","CC BY-SA 2.5 MX","1960000"
"399","CC BY 2.5 MY","85800000"
"400","CC BY-NC 2.5 MY","12300000"
"401","CC BY-NC-ND 2.5 MY","12300000"
"402","CC BY-NC-SA 2.5 MY","1530000"
"403","CC BY-ND 2.5 MY","88900000"
"404","CC BY-SA 2.5 MY","25400000"
"405","CC BY 2.5 NL","17300000"
"406","CC BY-NC 2.5 NL","745000"
"407","CC BY-NC-ND 2.5 NL","745000"
"408","CC BY-NC-SA 2.5 NL","340000"
"409","CC BY-ND 2.5 NL","17600000"
"410","CC BY-SA 2.5 NL","8230000"
"411","CC BY 2.5 PE","29500000"
"412","CC BY-NC 2.5 PE","5270000"
"413","CC BY-NC-ND 2.5 PE","5150000"
"414","CC BY-NC-SA 2.5 PE","886000"
"415","CC BY-ND 2.5 PE","23600000"
"416","CC BY-SA 2.5 PE","15800000"
"417","CC BY 2.5 PL","21900000"
"418","CC BY-NC 2.5 PL","2260000"
"419","CC BY-NC-ND 2.5 PL","2250000"
"420","CC BY-NC-SA 2.5 PL","665000"
"421","CC BY-ND 2.5 PL","22300000"
"422","CC BY-SA 2.5 PL","12700000"
"423","CC BY 2.5 PT","113000000"
"424","CC BY-NC 2.5 PT","24300000"
"425","CC BY-NC-ND 2.5 PT","24300000"
"426","CC BY-NC-SA 2.5 PT","11900000"
"427","CC BY-ND 2.5 PT","116000000"
"428","CC BY-SA 2.5 PT","52400000"
"429","CC BY 2.5 SCOTLAND","390000"
"430","CC BY-NC 2.5 SCOTLAND","130000"
"431","CC BY-NC-ND 2.5 SCOTLAND","131000"
"432","CC BY-NC-SA 2.5 SCOTLAND","81300"
"433","CC BY-ND 2.5 SCOTLAND","319000"
"434","CC BY-SA 2.5 SCOTLAND","205000"
"435","CC BY 2.5 SE","61900000"
"436","CC BY-NC 2.5 SE","15100000"
"437","CC BY-NC-ND 2.5 SE","16200000"
"438","CC BY-NC-SA 2.5 SE","6340000"
"439","CC BY-ND 2.5 SE","70100000"
"440","CC BY-SA 2.5 SE","29100000"
"441","CC BY 2.5 SI","30200000"
"442","CC BY-NC 2.5 SI","6380000"
"443","CC BY-NC-ND 2.5 SI","6370000"
"444","CC BY-NC-SA 2.5 SI","863000"
"445","CC BY-ND 2.5 SI","30700000"
"446","CC BY-SA 2.5 SI","15900000"
"447","CC BY 2.5 TW","13800000"
"448","CC BY-NC 2.5 TW","707000"
"449","CC BY-NC-ND 2.5 TW","707000"
"450","CC BY-NC-SA 2.5 TW","385000"
"451","CC BY-ND 2.5 TW","14300000"
"452","CC BY-SA 2.5 TW","5180000"
"453","CC BY 2.5 ZA","6240000"
"454","CC BY-NC 2.5 ZA","322000"
"455","CC BY-NC-ND 2.5 ZA","322000"
"456","CC BY-NC-SA 2.5 ZA","227000"
"457","CC BY-ND 2.5 ZA","6540000"
"458","CC BY-SA 2.5 ZA","806000"
"459","CC BY 2.1 AU","44800000"
"460","CC BY-NC 2.1 AU","8890000"
"461","CC BY-NC-ND 2.1 AU","8900000"
"462","CC BY-NC-SA 2.1 AU","1230000"
"463","CC BY-ND 2.1 AU","44700000"
"464","CC BY-SA 2.1 AU","22000000"
"465","CC BY 2.1 CA","103000000"
"466","CC BY-NC 2.1 CA","23800000"
"467","CC BY-NC-ND 2.1 CA","23800000"
"468","CC BY-NC-SA 2.1 CA","13300000"
"469","CC BY-ND 2.1 CA","103000000"
"470","CC BY-SA 2.1 CA","61600000"
"471","CC BY 2.1 ES","39100000"
"472","CC BY-NC 2.1 ES","8620000"
"473","CC BY-NC-ND 2.1 ES","8730000"
"474","CC BY-NC-SA 2.1 ES","2220000"
"475","CC BY-ND 2.1 ES","38900000"
"476","CC BY-SA 2.1 ES","21000000"
"477","CC BY 2.1 JP","80900000"
"478","CC BY-NC 2.1 JP","18700000"
"479","CC BY-NC-ND 2.1 JP","18700000"
"480","CC BY-NC-SA 2.1 JP","9120000"
"481","CC BY-ND 2.1 JP","81000000"
"482","CC BY-SA 2.1 JP","39500000"
"483","CC BY 2.0 AT","383000000"
"484","CC BY-NC 2.0 AT","150000000"
"485","CC BY-NC-ND 2.0 AT","150000000"
"486","CC BY-NC-SA 2.0 AT","70700000"
"487","CC BY-ND 2.0 AT","383000000"
"488","CC BY-SA 2.0 AT","227000000"
"489","CC BY 2.0 AU","150000000"
"490","CC BY-NC 2.0 AU","32200000"
"491","CC BY-NC-ND 2.0 AU","32200000"
"492","CC BY-NC-SA 2.0 AU","14200000"
"493","CC BY-ND 2.0 AU","150000000"
"494","CC BY-SA 2.0 AU","73000000"
"495","CC BY 2.0 BE","383000000"
"496","CC BY-NC 2.0 BE","150000000"
"497","CC BY-NC-ND 2.0 BE","150000000"
"498","CC BY-NC-SA 2.0 BE","70700000"
"499","CC BY-ND 2.0 BE","383000000"
"500","CC BY-SA 2.0 BE","226000000"
"501","CC BY 2.0 BR","22200000"
"502","CC BY-NC 2.0 BR","6870000"
"503","CC BY-NC-ND 2.0 BR","6870000"
"504","CC BY-NC-SA 2.0 BR","769000"
"505","CC BY-ND 2.0 BR","26300000"
"506","CC BY-SA 2.0 BR","14100000"
"507","CC BY 2.0 CA","70200000"
"508","CC BY-NC 2.0 CA","20100000"
"509","CC BY-NC-ND 2.0 CA","20100000"
"510","CC BY-NC-SA 2.0 CA","9590000"
"511","CC BY-ND 2.0 CA","86600000"
"512","CC BY-SA 2.0 CA","36800000"
"513","CC BY 2.0 CL","129000000"
"514","CC BY-NC 2.0 CL","33500000"
"515","CC BY-NC-ND 2.0 CL","33500000"
"516","CC BY-NC-SA 2.0 CL","17400000"
"517","CC BY-ND 2.0 CL","129000000"
"518","CC BY-SA 2.0 CL","74800000"
"519","CC BY 2.0 DE","87600000"
"520","CC BY-NC 2.0 DE","118000000"
"521","CC BY-NC-ND 2.0 DE","119000000"
"522","CC BY-NC-SA 2.0 DE","57700000"
"523","CC BY-ND 2.0 DE","361000000"
"524","CC BY-SA 2.0 DE","195000000"
"525","CC BY 2.0 ES","131000000"
"526","CC BY-NC 2.0 ES","32300000"
"527","CC BY-NC-ND 2.0 ES","32200000"
"528","CC BY-NC-SA 2.0 ES","16100000"
"529","CC BY-ND 2.0 ES","129000000"
"530","CC BY-SA 2.0 ES","75400000"
"531","CC BY 2.0 FR","112000000"
"532","CC BY-NC 2.0 FR","29700000"
"533","CC BY-NC-ND 2.0 FR","29700000"
"534","CC BY-NC-SA 2.0 FR","11200000"
"535","CC BY-ND 2.0 FR","136000000"
"536","CC BY-SA 2.0 FR","47700000"
"537","CC BY 2.0 HR","159000000"
"538","CC BY-NC 2.0 HR","41400000"
"539","CC BY-NC-ND 2.0 HR","41400000"
"540","CC BY-NC-SA 2.0 HR","17400000"
"541","CC BY-ND 2.0 HR","159000000"
"542","CC BY-SA 2.0 HR","82900000"
"543","CC BY 2.0 IT","386000000"
"544","CC BY-NC 2.0 IT","153000000"
"545","CC BY-NC-ND 2.0 IT","153000000"
"546","CC BY-NC-SA 2.0 IT","70900000"
"547","CC BY-ND 2.0 IT","386000000"
"548","CC BY-SA 2.0 IT","245000000"
"549","CC BY 2.0 JP","52600000"
"550","CC BY-NC 2.0 JP","15800000"
"551","CC BY-NC-ND 2.0 JP","15900000"
"552","CC BY-NC-SA 2.0 JP","6000000"
"553","CC BY-ND 2.0 JP","67000000"
"554","CC BY-SA 2.0 JP","25800000"
"555","CC BY 2.0 KR","12200000"
"556","CC BY-NC 2.0 KR","794000"
"557","CC BY-NC-ND 2.0 KR","794000"
"558","CC BY-NC-SA 2.0 KR","289000"
"559","CC BY-ND 2.0 KR","15000000"
"560","CC BY-SA 2.0 KR","2650000"
"561","CC BY 2.0 NL","11700000"
"562","CC BY-NC 2.0 NL","577000"
"563","CC BY-NC-ND 2.0 NL","575000"
"564","CC BY-NC-SA 2.0 NL","292000"
"565","CC BY-ND 2.0 NL","13800000"
"566","CC BY-SA 2.0 NL","6460000"
"567","CC BY 2.0 PL","14900000"
"568","CC BY-NC 2.0 PL","852000"
"569","CC BY-NC-ND 2.0 PL","851000"
"570","CC BY-NC-SA 2.0 PL","437000"
"571","CC BY-ND 2.0 PL","16900000"
"572","CC BY-SA 2.0 PL","9460000"
"573","CC BY 2.0 TW","31300000"
"574","CC BY-NC 2.0 TW","12400000"
"575","CC BY-NC-ND 2.0 TW","12400000"
"576","CC BY-NC-SA 2.0 TW","775000"
"577","CC BY-ND 2.0 TW","39500000"
"578","CC BY-SA 2.0 TW","17000000"
"579","CC BY 2.0 UK","228000000"
"580","CC BY-NC 2.0 UK","59700000"
"581","CC BY-NC-ND 2.0 UK","59700000"
"582","CC BY-NC-SA 2.0 UK","22200000"
"583","CC BY-ND 2.0 UK","227000000"
"584","CC BY-SA 2.0 UK","108000000"
"585","CC BY 2.0 ZA","23400000"
"586","CC BY-NC 2.0 ZA","5390000"
"587","CC BY-NC-ND 2.0 ZA","5380000"
"588","CC BY-NC-SA 2.0 ZA","754000"
"589","CC BY-ND 2.0 ZA","23000000"
"590","CC BY-SA 2.0 ZA","13900000"
"591","CC BY 1.0 FI","13000000"
"592","CC BY-NC 1.0 FI","695000"
"593","CC BY-NC-SA 1.0 FI","371000"
"594","CC BY-ND 1.0 FI","12800000"
"595","CC BY-ND-NC 1.0 FI","711000"
"596","CC BY-SA 1.0 FI","2790000"
"597","CC BY 1.0 IL","23700000"
"598","CC BY-NC 1.0 IL","5540000"
