"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","CC BY 4.0","342000000"
"2","CC BY-NC 4.0","121000000"
"3","CC BY-NC-ND 4.0","122000000"
"4","CC BY-NC-SA 4.0","52300000"
"5","CC BY-ND 4.0","340000000"
"6","CC BY-SA 4.0","163000000"
"7","PDM 1.0","9470000"
"8","CC0 1.0","19800000"
"9","CC BY 3.0","117000000"
"10","CC BY-NC 3.0","35200000"
"11","CC BY-NC-ND 3.0","35200000"
"12","CC BY-NC-SA 3.0","15600000"
"13","CC BY-ND 3.0","141000000"
"14","CC BY-SA 3.0","69200000"
"15","CC BY 2.5","156000000"
"16","CC BY-NC 2.5","39900000"
"17","CC BY-NC-ND 2.5","40200000"
"18","CC BY-NC-SA 2.5","17700000"
"19","CC BY-ND 2.5","160000000"
"20","CC BY-SA 2.5","78600000"
"21","CC BY 2.0","112000000"
"22","CC BY-NC 2.0","29400000"
"23","CC BY-NC-ND 2.0","29400000"
"24","CC BY-NC-SA 2.0","13800000"
"25","CC BY-ND 2.0","135000000"
"26","CC BY-SA 2.0","60700000"
"27","CC BY 1.0","150000000"
"28","CC BY-NC 1.0","31000000"
"29","CC BY-NC-SA 1.0","14100000"
"30","CC BY-ND 1.0","150000000"
"31","CC BY-ND-NC 1.0","32400000"
"32","CC BY-SA 1.0","66200000"
"33","CC BY 3.0 AM","84000000"
"34","CC BY-NC 3.0 AM","22000000"
"35","CC BY-NC-ND 3.0 AM","22000000"
"36","CC BY-NC-SA 3.0 AM","10900000"
"37","CC BY-ND 3.0 AM","88900000"
"38","CC BY-SA 3.0 AM","39300000"
"39","CC BY 3.0 AT","376000000"
"40","CC BY-NC 3.0 AT","149000000"
"41","CC BY-NC-ND 3.0 AT","27800000"
"42","CC BY-NC-SA 3.0 AT","70000000"
"43","CC BY-ND 3.0 AT","141000000"
"44","CC BY-SA 3.0 AT","227000000"
"45","CC BY 3.0 AU","145000000"
"46","CC BY-NC 3.0 AU","31900000"
"47","CC BY-NC-ND 3.0 AU","5450000"
"48","CC BY-NC-SA 3.0 AU","14000000"
"49","CC BY-ND 3.0 AU","27200000"
"50","CC BY-SA 3.0 AU","71600000"
"51","CC BY 3.0 AZ","14300000"
"52","CC BY-NC 3.0 AZ","614000"
"53","CC BY-NC-ND 3.0 AZ","613000"
"54","CC BY-NC-SA 3.0 AZ","263000"
"55","CC BY-ND 3.0 AZ","14000000"
"56","CC BY-SA 3.0 AZ","5450000"
"57","CC BY 3.0 BR","24500000"
"58","CC BY-NC 3.0 BR","7730000"
"59","CC BY-NC-ND 3.0 BR","6730000"
"60","CC BY-NC-SA 3.0 BR","893000"
"61","CC BY-ND 3.0 BR","26600000"
"62","CC BY-SA 3.0 BR","14400000"
"63","CC BY 3.0 CA","82600000"
"64","CC BY-NC 3.0 CA","19300000"
"65","CC BY-NC-ND 3.0 CA","19300000"
"66","CC BY-NC-SA 3.0 CA","9390000"
"67","CC BY-ND 3.0 CA","82100000"
"68","CC BY-SA 3.0 CA","37700000"
"69","CC BY 3.0 CH","58700000"
"70","CC BY-NC 3.0 CH","13400000"
"71","CC BY-NC-ND 3.0 CH","13400000"
"72","CC BY-NC-SA 3.0 CH","5390000"
"73","CC BY-ND 3.0 CH","58500000"
"74","CC BY-SA 3.0 CH","22300000"
"75","CC BY 3.0 CL","127000000"
"76","CC BY-NC 3.0 CL","33200000"
"77","CC BY-NC-ND 3.0 CL","6760000"
"78","CC BY-NC-SA 3.0 CL","16900000"
"79","CC BY-ND 3.0 CL","25800000"
"80","CC BY-SA 3.0 CL","73900000"
"81","CC BY 3.0 CN","17600000"
"82","CC BY-NC 3.0 CN","2620000"
"83","CC BY-NC-ND 3.0 CN","2620000"
"84","CC BY-NC-SA 3.0 CN","379000"
"85","CC BY-ND 3.0 CN","17600000"
"86","CC BY-SA 3.0 CN","7610000"
"87","CC BY 3.0 CR","26200000"
