"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"753","CC BY-NC-SA 4.0","Danish","635"
"754","CC BY-NC-SA 4.0","Dutch","2520"
"755","CC BY-NC-SA 4.0","English","49200000"
"756","CC BY-NC-SA 4.0","Estonian","3060"
"757","CC BY-NC-SA 4.0","Finnish","3080"
"758","CC BY-NC-SA 4.0","French","2800000"
"759","CC BY-NC-SA 4.0","German","34900"
"760","CC BY-NC-SA 4.0","Greek","4870"
"761","CC BY-NC-SA 4.0","Hebrew","528"
"762","CC BY-NC-SA 4.0","Hungarian","1890"
"763","CC BY-NC-SA 4.0","Icelandic","2390"
"764","CC BY-NC-SA 4.0","Indonesian","64600"
"765","CC BY-NC-SA 4.0","Italian","25900"
"766","CC BY-NC-SA 4.0","Japanese","6510"
"767","CC BY-NC-SA 4.0","Korean","10900"
"768","CC BY-NC-SA 4.0","Latvian","3850"
"769","CC BY-NC-SA 4.0","Lithuanian","545"
"770","CC BY-NC-SA 4.0","Norwegian","1960"
"771","CC BY-NC-SA 4.0","Polish","40900"
"772","CC BY-NC-SA 4.0","Portuguese","302000"
"773","CC BY-NC-SA 4.0","Romanian","2640"
"774","CC BY-NC-SA 4.0","Russian","10200"
"775","CC BY-NC-SA 4.0","Serbian","4090"
"776","CC BY-NC-SA 4.0","Slovak","2510"
"777","CC BY-NC-SA 4.0","Slovenian","72100"
"778","CC BY-NC-SA 4.0","Spanish","364000"
"779","CC BY-NC-SA 4.0","Swedish","1430"
"780","CC BY-NC-SA 4.0","Turkish","108000"
"781","CC BY-ND 4.0","Arabic","52600"
"782","CC BY-ND 4.0","Bulgarian","16200"
"783","CC BY-ND 4.0","Catalan","56400"
"784","CC BY-ND 4.0","Chinese (Simplified)","35500"
"785","CC BY-ND 4.0","Chinese (Traditional)","33300"
"786","CC BY-ND 4.0","Croatian","45700"
"787","CC BY-ND 4.0","Czech","60500"
"788","CC BY-ND 4.0","Danish","55800"
"789","CC BY-ND 4.0","Dutch","101000"
"790","CC BY-ND 4.0","English","362000000"
"791","CC BY-ND 4.0","Estonian","11400"
"792","CC BY-ND 4.0","Finnish","59800"
"793","CC BY-ND 4.0","French","337000"
"794","CC BY-ND 4.0","German","3810000"
"795","CC BY-ND 4.0","Greek","35300"
"796","CC BY-ND 4.0","Hebrew","44900"
"797","CC BY-ND 4.0","Hungarian","26900"
"798","CC BY-ND 4.0","Icelandic","15000"
"799","CC BY-ND 4.0","Indonesian","4710000"
"800","CC BY-ND 4.0","Italian","204000"
"801","CC BY-ND 4.0","Japanese","286000"
"802","CC BY-ND 4.0","Korean","96100"
"803","CC BY-ND 4.0","Latvian","24800"
"804","CC BY-ND 4.0","Lithuanian","38200"
"805","CC BY-ND 4.0","Norwegian","65400"
"806","CC BY-ND 4.0","Polish","173000"
"807","CC BY-ND 4.0","Portuguese","479000"
"808","CC BY-ND 4.0","Romanian","27500"
"809","CC BY-ND 4.0","Russian","340000"
"810","CC BY-ND 4.0","Serbian","60900"
"811","CC BY-ND 4.0","Slovak","24500"
"812","CC BY-ND 4.0","Slovenian","141000"
"813","CC BY-ND 4.0","Spanish","4160000"
"814","CC BY-ND 4.0","Swedish","53300"
"815","CC BY-ND 4.0","Turkish","178000"
"816","CC BY-SA 4.0","Arabic","27200"
"817","CC BY-SA 4.0","Bulgarian","18300"
"818","CC BY-SA 4.0","Catalan","31500"
"819","CC BY-SA 4.0","Chinese (Simplified)","71300"
"820","CC BY-SA 4.0","Chinese (Traditional)","15400"
"821","CC BY-SA 4.0","Croatian","69700"
"822","CC BY-SA 4.0","Czech","81400"
"823","CC BY-SA 4.0","Danish","39100"
"824","CC BY-SA 4.0","Dutch","70900"
"825","CC BY-SA 4.0","English","141000000"
"826","CC BY-SA 4.0","Estonian","10600"
"827","CC BY-SA 4.0","Finnish","30400"
"828","CC BY-SA 4.0","French","3170000"
"829","CC BY-SA 4.0","German","6170000"
"830","CC BY-SA 4.0","Greek","24400"
"831","CC BY-SA 4.0","Hebrew","18400"
"832","CC BY-SA 4.0","Hungarian","31000"
"833","CC BY-SA 4.0","Icelandic","9260"
"834","CC BY-SA 4.0","Indonesian","371000"
"835","CC BY-SA 4.0","Italian","319000"
"836","CC BY-SA 4.0","Japanese","165000"
"837","CC BY-SA 4.0","Korean","66100"
"838","CC BY-SA 4.0","Latvian","15000"
"839","CC BY-SA 4.0","Lithuanian","19100"
"840","CC BY-SA 4.0","Norwegian","59800"
"841","CC BY-SA 4.0","Polish","241000"
"842","CC BY-SA 4.0","Portuguese","596000"
"843","CC BY-SA 4.0","Romanian","34900"
"844","CC BY-SA 4.0","Russian","208000"
"845","CC BY-SA 4.0","Serbian","96500"
"846","CC BY-SA 4.0","Slovak","36600"
"847","CC BY-SA 4.0","Slovenian","149000"
"848","CC BY-SA 4.0","Spanish","6600000"
"849","CC BY-SA 4.0","Swedish","53600"
"850","CC BY-SA 4.0","Turkish","176000"
"851","PDM 1.0","Arabic","6580"
"852","PDM 1.0","Bulgarian","1120"
"853","PDM 1.0","Catalan","4880"
"854","PDM 1.0","Chinese (Simplified)","19100"
"855","PDM 1.0","Chinese (Traditional)","3530"
"856","PDM 1.0","Croatian","2270"
"857","PDM 1.0","Czech","10600"
"858","PDM 1.0","Danish","4860"
"859","PDM 1.0","Dutch","28400"
"860","PDM 1.0","English","6760000"
"861","PDM 1.0","Estonian","2540"
"862","PDM 1.0","Finnish","4060"
"863","PDM 1.0","French","64600"
"864","PDM 1.0","German","56900"
"865","PDM 1.0","Greek","2810"
"866","PDM 1.0","Hebrew","2330"
"867","PDM 1.0","Hungarian","3150"
"868","PDM 1.0","Icelandic","363"
"869","PDM 1.0","Indonesian","5220"
"870","PDM 1.0","Italian","36500"
"871","PDM 1.0","Japanese","19700"
"872","PDM 1.0","Korean","7370"
"873","PDM 1.0","Latvian","579"
"874","PDM 1.0","Lithuanian","1780"
"875","PDM 1.0","Norwegian","3580"
"876","PDM 1.0","Polish","13900"
"877","PDM 1.0","Portuguese","21100"
"878","PDM 1.0","Romanian","3480"
"879","PDM 1.0","Russian","20100"
"880","PDM 1.0","Serbian","2860"
"881","PDM 1.0","Slovak","2320"
"882","PDM 1.0","Slovenian","1250"
"883","PDM 1.0","Spanish","51500"
"884","PDM 1.0","Swedish","6980"
"885","PDM 1.0","Turkish","6040"
"886","CC0 1.0","Arabic","9700"
"887","CC0 1.0","Bulgarian","3450"
"888","CC0 1.0","Catalan","5970"
"889","CC0 1.0","Chinese (Simplified)","22600"
"890","CC0 1.0","Chinese (Traditional)","5740"
"891","CC0 1.0","Croatian","5780"
"892","CC0 1.0","Czech","14400"
"893","CC0 1.0","Danish","20600"
"894","CC0 1.0","Dutch","52700"
"895","CC0 1.0","English","18100000"
"896","CC0 1.0","Estonian","3620"
"897","CC0 1.0","Finnish","18200"
"898","CC0 1.0","French","69100"
"899","CC0 1.0","German","87200"
"900","CC0 1.0","Greek","5800"
"901","CC0 1.0","Hebrew","4060"
"902","CC0 1.0","Hungarian","4580"
"903","CC0 1.0","Icelandic","2040"
"904","CC0 1.0","Indonesian","9200"
"905","CC0 1.0","Italian","52600"
"906","CC0 1.0","Japanese","22300"
"907","CC0 1.0","Korean","8830"
"908","CC0 1.0","Latvian","5180"
"909","CC0 1.0","Lithuanian","8640"
"910","CC0 1.0","Norwegian","6160"
"911","CC0 1.0","Polish","22400"
"912","CC0 1.0","Portuguese","31500"
"913","CC0 1.0","Romanian","9880"
"914","CC0 1.0","Russian","63000"
"915","CC0 1.0","Serbian","32400"
"916","CC0 1.0","Slovak","5420"
"917","CC0 1.0","Slovenian","2800"
"918","CC0 1.0","Spanish","90400"
"919","CC0 1.0","Swedish","25000"
"920","CC0 1.0","Turkish","16100"
